"Постійне населення (осіб) - Регіон, Рік, Вікові групи, Тип поселення ,"
"Стать"

" "	" "	" "	"Міські поселення та сільська місцевість"	" "	" "
" "	" "	" "	"Обидві статі"	" чоловіки"	" жінки"
"Україна"
" "	"2012"
" "	" "	"0"	498975	257319	241656
" "	" "	"1"	493356	254290	239066
" "	" "	"2"	507656	262074	245582
" "	" "	"3"	505325	260546	244779
" "	" "	"4"	467005	239939	227066
" "	" "	"5"	455095	233149	221946
" "	" "	"6"	420822	216621	204201
" "	" "	"7"	422104	216936	205168
" "	" "	"8"	403225	206936	196289
" "	" "	"9"	384845	198393	186452
" "	" "	"10"	369864	190334	179530
" "	" "	"11"	380938	195858	185080
" "	" "	"12"	385536	197795	187741
" "	" "	"13"	409571	209116	200455
" "	" "	"14"	427214	218826	208388
" "	" "	"15"	461601	236412	225189
" "	" "	"16"	479618	245609	234009
" "	" "	"17"	498888	255703	243185
" "	" "	"18"	528571	270496	258075
" "	" "	"19"	569467	291498	277969
" "	" "	"20"	610911	312967	297944
" "	" "	"21"	642654	329008	313646
" "	" "	"22"	673409	344178	329231
" "	" "	"23"	717141	366202	350939
" "	" "	"24"	741708	378657	363051
" "	" "	"25"	786701	400760	385941
" "	" "	"26"	763694	388094	375600
" "	" "	"27"	780792	396835	383957
" "	" "	"28"	793319	403379	389940
" "	" "	"29"	723255	368762	354493
" "	" "	"30"	700176	353100	347076
" "	" "	"31"	714449	359661	354788
" "	" "	"32"	674597	338721	335876
" "	" "	"33"	669788	334152	335636
" "	" "	"34"	648193	321616	326577
" "	" "	"35"	681425	337814	343611
" "	" "	"36"	667508	328526	338982
" "	" "	"37"	650087	319069	331018
" "	" "	"38"	632859	309961	322898
" "	" "	"39"	652532	317870	334662
" "	" "	"40"	645986	315131	330855
" "	" "	"41"	639673	311217	328456
" "	" "	"42"	589634	284671	304963
" "	" "	"43"	598725	288184	310541
" "	" "	"44"	590545	282238	308307
" "	" "	"45"	608975	289325	319650
" "	" "	"46"	603191	284526	318665
" "	" "	"47"	629853	295373	334480
" "	" "	"48"	671496	312563	358933
" "	" "	"49"	688262	318620	369642
" "	" "	"50"	711501	328499	383002
" "	" "	"51"	735508	337729	397779
" "	" "	"52"	701267	318278	382989
" "	" "	"53"	693683	312857	380826
" "	" "	"54"	664039	296711	367328
" "	" "	"55"	658795	291393	367402
" "	" "	"56"	613713	268657	345056
" "	" "	"57"	628380	272406	355974
" "	" "	"58"	571936	245472	326464
" "	" "	"59"	595309	253626	341683
" "	" "	"60"	588974	249987	338987
" "	" "	"61"	578908	242894	336014
" "	" "	"62"	595366	245521	349845
" "	" "	"63"	491996	201110	290886
" "	" "	"64"	434253	174256	259997
" "	" "	"65"	414826	162669	252157
" "	" "	"66"	269722	102762	166960
" "	" "	"67"	308812	115528	193284
" "	" "	"68"	274300	101286	173014
" "	" "	"69"	350510	127251	223259
" "	" "	"70"	455304	164535	290769
" "	" "	"71"	458938	163483	295455
" "	" "	"72"	484622	166737	317885
" "	" "	"73"	493947	167711	326236
" "	" "	"74"	493827	167861	325966
" "	" "	"75"	385951	130738	255213
" "	" "	"76"	307464	103312	204152
" "	" "	"77"	220555	72882	147673
" "	" "	"78"	180541	57494	123047
" "	" "	"79"	220884	66933	153951
" "	" "	"80 і старше"	1608237	417104	1191133
" "	"2013"
" "	" "	"0"	517301	266820	250481
" "	" "	"1"	498371	256967	241404
" "	" "	"2"	493244	254237	239007
" "	" "	"3"	507600	262034	245566
" "	" "	"4"	505271	260473	244798
" "	" "	"5"	466956	239901	227055
" "	" "	"6"	455065	233152	221913
" "	" "	"7"	420828	216603	204225
" "	" "	"8"	422107	216915	205192
" "	" "	"9"	403202	206934	196268
" "	" "	"10"	384840	198396	186444
" "	" "	"11"	369865	190341	179524
" "	" "	"12"	380934	195851	185083
" "	" "	"13"	385468	197747	187721
" "	" "	"14"	409546	209108	200438
" "	" "	"15"	427125	218770	208355
" "	" "	"16"	461646	236427	225219
" "	" "	"17"	481022	246690	234332
" "	" "	"18"	502395	258319	244076
" "	" "	"19"	532948	273728	259220
" "	" "	"20"	573923	294729	279194
" "	" "	"21"	614901	315818	299083
" "	" "	"22"	646471	331707	314764
" "	" "	"23"	676892	346660	330232
" "	" "	"24"	719970	368187	351783
" "	" "	"25"	743412	379888	363524
" "	" "	"26"	787692	401430	386262
" "	" "	"27"	764199	388434	375765
" "	" "	"28"	780740	396799	383941
