р?к;в?к;Обидв? стат?; чолов?ки; ж?нки
2012;0;498975;257319;241656
2012;1;493356;254290;239066
2012;2;507656;262074;245582
2012;3;505325;260546;244779
2012;4;467005;239939;227066
2012;5;455095;233149;221946
2012;6;420822;216621;204201
2012;7;422104;216936;205168
2012;8;403225;206936;196289
2012;9;384845;198393;186452
2012;10;369864;190334;179530
2012;11;380938;195858;185080
2012;12;385536;197795;187741
2012;13;409571;209116;200455
2012;14;427214;218826;208388
2012;15;461601;236412;225189
2012;16;479618;245609;234009
2012;17;498888;255703;243185
2012;18;528571;270496;258075
2012;19;569467;291498;277969
2012;20;610911;312967;297944
2012;21;642654;329008;313646
2012;22;673409;344178;329231
2012;23;717141;366202;350939
2012;24;741708;378657;363051
2012;25;786701;400760;385941
2012;26;763694;388094;375600
2012;27;780792;396835;383957
2012;28;793319;403379;389940
2012;29;723255;368762;354493
2012;30;700176;353100;347076
2012;31;714449;359661;354788
2012;32;674597;338721;335876
2012;33;669788;334152;335636
2012;34;648193;321616;326577
2012;35;681425;337814;343611
2012;36;667508;328526;338982
2012;37;650087;319069;331018
2012;38;632859;309961;322898
2012;39;652532;317870;334662
2012;40;645986;315131;330855
2012;41;639673;311217;328456
2012;42;589634;284671;304963
2012;43;598725;288184;310541
2012;44;590545;282238;308307
2012;45;608975;289325;319650
2012;46;603191;284526;318665
2012;47;629853;295373;334480
2012;48;671496;312563;358933
2012;49;688262;318620;369642
2012;50;711501;328499;383002
2012;51;735508;337729;397779
2012;52;701267;318278;382989
2012;53;693683;312857;380826
2012;54;664039;296711;367328
2012;55;658795;291393;367402
2012;56;613713;268657;345056
2012;57;628380;272406;355974
2012;58;571936;245472;326464
2012;59;595309;253626;341683
2012;60;588974;249987;338987
2012;61;578908;242894;336014
2012;62;595366;245521;349845
2012;63;491996;201110;290886
2012;64;434253;174256;259997
2012;65;414826;162669;252157
2012;66;269722;102762;166960
2012;67;308812;115528;193284
2012;68;274300;101286;173014
2012;69;350510;127251;223259
2012;70;455304;164535;290769
2012;71;458938;163483;295455
2012;72;484622;166737;317885
2012;73;493947;167711;326236
2012;74;493827;167861;325966
2012;75;385951;130738;255213
2012;76;307464;103312;204152
2012;77;220555;72882;147673
2012;78;180541;57494;123047
2012;79;220884;66933;153951
2012;80;1608237;417104;1191133
2013;0;517301;266820;250481
2013;1;498371;256967;241404
2013;2;493244;254237;239007
2013;3;507600;262034;245566
2013;4;505271;260473;244798
2013;5;466956;239901;227055
2013;6;455065;233152;221913
2013;7;420828;216603;204225
2013;8;422107;216915;205192
2013;9;403202;206934;196268
2013;10;384840;198396;186444
2013;11;369865;190341;179524
2013;12;380934;195851;185083
2013;13;385468;197747;187721
2013;14;409546;209108;200438
2013;15;427125;218770;208355
2013;16;461646;236427;225219
2013;17;481022;246690;234332
2013;18;502395;258319;244076
2013;19;532948;273728;259220
2013;20;573923;294729;279194
2013;21;614901;315818;299083
2013;22;646471;331707;314764
2013;23;676892;346660;330232
2013;24;719970;368187;351783
2013;25;743412;379888;363524
2013;26;787692;401430;386262
2013;27;764199;388434;375765
2013;28;780740;396799;383941
2013;29;792949;403121;389828
2013;30;722705;368335;354370
2013;31;699290;352408;346882
2013;32;713301;358804;354497
2013;33;673094;337551;335543
2013;34;668208;332918;335290
2013;35;646372;320239;326133
2013;36;679662;336490;343172
2013;37;665450;326979;338471
2013;38;647888;317427;330461
2013;39;630729;308373;322356
2013;40;650182;316163;334019
2013;41;643465;313265;330200
2013;42;637092;309358;327734
2013;43;586960;282691;304269
2013;44;595845;286112;309733
2013;45;587394;279935;307459
2013;46;605694;286933;318761
2013;47;599831;282031;317800
2013;48;625896;292455;333441
2013;49;666952;309205;357747
2013;50;683177;314830;368347
2013;51;705975;324488;381487
2013;52;729360;333299;396061
2013;53;694910;313693;381217
2013;54;686947;308008;378939
2013;55;656703;291432;365271
2013;56;651263;286074;365189
2013;57;605913;263232;342681
2013;58;619955;266584;353371
2013;59;563535;239708;323827
2013;60;585612;246942;338670
2013;61;578626;242998;335628
2013;62;568125;235748;332377
2013;63;583070;237454;345616
2013;64;481310;194243;287067
2013;65;424106;167930;256176
2013;66;404613;156344;248269
2013;67;262889;98619;164270
2013;68;299639;110139;189500
2013;69;265621;96350;169271
2013;70;338639;120662;217977
2013;71;439209;155644;283565
2013;72;441227;154157;287070
2013;73;463549;156121;307428
2013;74;470627;156133;314494
2013;75;468064;155497;312567
2013;76;364264;120691;243573
2013;77;288170;94595;193575
2013;78;205512;66382;139130
2013;79;166874;52039;114835
2013;80;1602315;418850;1183465
2014;0;500484;257889;242595
2014;1;516810;266548;250262
2014;2;498240;256882;241358
2014;3;493186;254179;239007
2014;4;507595;262046;245549
2014;5;505260;260462;244798
2014;6;466967;239891;227076
2014;7;455060;233152;221908
2014;8;420812;216593;204219
2014;9;422107;216904;205203
2014;10;403163;206907;196256
2014;11;384829;198396;186433
2014;12;369864;190331;179533
2014;13;380885;195817;185068
2014;14;385427;197721;187706
2014;15;409399;209022;200377
2014;16;427112;218749;208363
2014;17;462666;237163;225503
2014;18;483504;248512;234992
2014;19;505129;260300;244829
2014;20;534986;275158;259828
2014;21;575090;295535;279555
2014;22;615346;316052;299294
2014;23;646632;331823;314809
2014;24;676584;346383;330201
2014;25;719107;367417;351690
2014;26;742674;379178;363496
2014;27;786978;400805;386173
2014;28;763407;387768;375639
2014;29;779918;396090;383828
2014;30;791715;402193;389522
2014;31;721483;367334;354149
2014;32;698055;351448;346607
2014;33;711629;357498;354131
2014;34;671304;336227;335077
2014;35;666215;331379;334836
2014;36;644369;318698;325671
2014;37;677386;334800;342586
2014;38;663157;325320;337837
2014;39;645479;315641;329838
2014;40;628300;306580;321720
2014;41;647506;314187;333319
2014;42;640779;311296;329483
2014;43;634139;307257;326882
2014;44;584185;280695;303490
2014;45;592680;283837;308843
2014;46;583990;277439;306551
2014;47;602073;284282;317791
2014;48;596037;279313;316724
2014;49;621644;289351;332293
2014;50;661870;305482;356388
2014;51;677766;310828;366938
2014;52;699967;320129;379838
2014;53;722830;328553;394277
2014;54;687979;308694;379285
2014;55;679519;302632;376887
2014;56;649023;285917;363106
2014;57;643337;280605;362732
2014;58;597886;257708;340178
2014;59;611079;260524;350555
2014;60;554564;233650;320914
2014;61;575328;239926;335402
2014;62;567535;235560;331975
2014;63;556763;228245;328518
2014;64;570271;229076;341195
2014;65;470113;187222;282891
2014;66;413630;161457;252173
2014;67;394098;149948;244150
2014;68;255747;94415;161332
2014;69;290154;104710;185444
2014;70;256589;91375;165214
2014;71;326236;113936;212300
2014;72;422681;146984;275697
2014;73;423065;145047;278018
2014;74;442285;145579;296706
2014;75;446659;144735;301924
2014;76;441667;143457;298210
2014;77;341987;110720;231267
2014;78;268280;86018;182262
2014;79;190401;60132;130269
2014;80;1545239;406576;1138663
2015;0;463048;238366;224682
2015;1;471667;242999;228668
2015;2;487489;251352;236137
2015;3;470674;242605;228069
2015;4;465766;239837;225929
2015;5;479839;247710;232129
2015;6;477711;246323;231388
2015;7;441282;226701;214581
2015;8;431088;221015;210073
2015;9;398992;205474;193518
2015;10;400157;205524;194633
2015;11;382164;196157;186007
2015;12;365500;188441;177059
2015;13;351654;180987;170667
2015;14;362140;186143;175997
2015;15;366788;188196;178592
2015;16;390627;199463;191164
2015;17;408118;209068;199050
2015;18;443864;227882;215982
2015;19;464199;238964;225235
2015;20;483467;249362;234105
2015;21;511154;262876;248278
2015;22;548143;281665;266478
2015;23;584697;300231;284466
2015;24;613202;314504;298698
2015;25;640357;327580;312777
2015;26;679712;346992;332720
2015;27;701238;357886;343352
2015;28;744255;378677;365578
2015;29;721602;366153;355449
2015;30;738136;374537;363599
2015;31;747421;378603;368818
2015;32;679908;344736;335172
2015;33;658374;330345;328029
2015;34;672724;337366;335358
2015;35;634644;317412;317232
2015;36;629955;312900;317055
2015;37;608762;300708;308054
2015;38;641010;316340;324670
2015;39;627781;307408;320373
2015;40;610769;298099;312670
2015;41;595104;289983;305121
2015;42;612953;297047;315906
2015;43;607062;294493;312569
2015;44;601018;290932;310086
2015;45;552110;264845;287265
2015;46;560016;267703;292313
2015;47;551663;261554;290109
2015;48;567394;267525;299869
2015;49;560689;261977;298712
2015;50;584673;271209;313464
2015;51;622484;286262;336222
2015;52;635389;290106;345283
2015;53;657082;299243;357839
2015;54;678597;307062;371535
2015;55;644613;287949;356664
2015;56;636565;281892;354673
2015;57;606224;265436;340788
2015;58;599637;259745;339892
2015;59;555880;237953;317927
2015;60;567400;240081;327319
2015;61;513604;214295;299309
2015;62;532451;219481;312970
2015;63;525751;215888;309863
2015;64;515444;209135;306309
2015;65;526907;209290;317617
2015;66;434510;170980;263530
2015;67;379758;146247;233511
2015;68;362327;135885;226442
2015;69;235161;85535;149626
2015;70;267330;94676;172654
2015;71;235972;82262;153710
2015;72;297309;101567;195742
2015;73;384437;130891;253546
2015;74;382902;128685;254217
2015;75;397713;127910;269803
2015;76;400259;126603;273656
2015;77;392885;124495;268390
2015;78;303595;96104;207491
2015;79;236094;73793;162301
2015;80;1438621;383520;1055101
2016;0;409172;211339;197833
2016;1;462489;238053;224436
2016;2;471450;242884;228566
2016;3;487356;251286;236070
2016;4;470537;242525;228012
2016;5;465685;239790;225895
2016;6;479739;247658;232081
2016;7;477651;246292;231359
2016;8;441212;226677;214535
2016;9;431011;220970;210041
2016;10;398896;205415;193481
2016;11;400099;205494;194605
2016;12;382049;196088;185961
2016;13;365398;188378;177020
2016;14;351549;180933;170616
2016;15;362018;186068;175950
2016;16;366728;188132;178596
2016;17;390967;199667;191300
2016;18;409303;209887;199416
2016;19;445062;228717;216345
2016;20;464844;239365;225479
2016;21;483136;249004;234132
2016;22;510561;262351;248210
2016;23;547499;281119;266380
2016;24;583881;299627;284254
2016;25;612369;313751;298618
2016;26;639634;326933;312701
2016;27;678904;346300;332604
2016;28;700457;357229;343228
2016;29;743322;377924;365398
2016;30;720706;365389;355317
2016;31;736924;373599;363325
2016;32;746069;377596;368473
2016;33;678493;343652;334841
2016;34;656924;329211;327713
2016;35;671042;336112;334930
2016;36;632843;316073;316770
2016;37;628059;311492;316567
2016;38;606774;299213;307561
2016;39;638746;314648;324098
2016;40;625422;305622;319800
2016;41;608258;296250;312008
2016;42;592620;288153;304467
2016;43;610260;295105;315155
2016;44;604322;292515;311807
2016;45;598204;288882;309322
2016;46;549243;262769;286474
2016;47;556754;265315;291439
2016;48;548420;259160;289260
2016;49;563779;264886;298893
2016;50;556891;259215;297676
2016;51;580454;268174;312280
2016;52;617756;282787;334969
2016;53;630116;286276;343840
2016;54;651476;295213;356263
2016;55;672000;302282;369718
2016;56;637907;283130;354777
2016;57;629512;276830;352682
2016;58;598789;260318;338471
2016;59;591928;254431;337497
2016;60;547924;232462;315462
2016;61;558239;233782;324457
2016;62;504742;208379;296363
2016;63;522341;212821;309520
2016;64;515102;208929;306173
2016;65;504398;202140;302258
2016;66;514301;201406;312895
2016;67;423593;164310;259283
2016;68;369280;140031;229249
2016;69;351980;129849;222131
2016;70;227984;81538;146446
2016;71;257690;89398;168292
2016;72;226975;77468;149507
2016;73;285034;95195;189839
2016;74;368301;122876;245425
2016;75;365066;119964;245102
2016;76;376934;118369;258565
2016;77;377437;116399;261038
2016;78;367864;113614;254250
2016;79;282648;87444;195204
2016;80;1469377;397353;1072024
2017;0;394626;203793;190833
2017;1;408645;211045;197600
2017;2;462265;237929;224336
2017;3;471308;242802;228506
2017;4;487231;251201;236030
2017;5;470434;242467;227967
2017;6;465594;239738;225856
2017;7;479645;247603;232042
2017;8;477573;246238;231335
2017;9;441134;226623;214511
2017;10;430964;220944;210020
2017;11;398813;205363;193450
2017;12;400030;205461;194569
2017;13;381977;196045;185932
2017;14;365297;188298;176999
2017;15;351424;180859;170565
2017;16;361912;185990;175922
2017;17;366734;188144;178590
2017;18;391384;199959;191425
2017;19;410177;210527;199650
2017;20;445603;229118;216485
2017;21;465040;239503;225537
2017;22;483244;249094;234150
2017;23;510421;262233;248188
2017;24;547264;280918;266346
2017;25;583565;299374;284191
2017;26;611950;313398;298552
2017;27;639041;326497;312544
2017;28;678228;345782;332446
2017;29;699675;356606;343069
2017;30;742282;377087;365195
2017;31;719665;364603;355062
2017;32;735679;372641;363038
2017;33;744597;376464;368133
2017;34;677042;342549;334493
2017;35;655291;327960;327331
2017;36;669283;334798;334485
2017;37;630860;314568;316292
2017;38;625961;309988;315973
2017;39;604617;297602;307015
2017;40;636361;312866;323495
2017;41;623018;303838;319180
2017;42;605632;294323;311309
2017;43;589869;286146;303723
2017;44;607385;293019;314366
2017;45;601245;290310;310935
2017;46;595107;286619;308488
2017;47;546188;260553;285635
2017;48;553304;262840;290464
2017;49;544798;256572;288226
2017;50;559851;262022;297829
2017;51;552827;256251;296576
2017;52;575882;264837;311045
2017;53;612612;279060;333552
2017;54;624406;282185;342221
2017;55;645368;290839;354529
2017;56;665137;297343;367794
2017;57;630784;278088;352696
2017;58;621818;271496;350322
2017;59;590919;254987;335932
2017;60;583335;248445;334890
2017;61;539060;226389;312671
2017;62;548830;227425;321405
2017;63;495259;202048;293211
2017;64;511901;205987;305914
2017;65;504167;201870;302297
2017;66;493104;195133;297971
2017;67;501467;193619;307848
2017;68;412394;157589;254805
2017;69;358613;133813;224800
2017;70;341261;123737;217524
2017;71;220501;77479;143022
2017;72;247744;84158;163586
2017;73;217680;72744;144936
2017;74;272273;88760;183513
2017;75;351525;114938;236587
2017;76;346812;111518;235294
2017;77;355628;108821;246807
2017;78;354350;106602;247748
2017;79;342829;103244;239585
2017;80;1547186;424255;1122931
2018;0;361789;186249;175540
2018;1;394316;203612;190704
2018;2;408532;210970;197562
2018;3;462137;237860;224277
2018;4;471199;242735;228464
2018;5;487123;251130;235993
2018;6;470302;242412;227890
2018;7;465514;239702;225812
2018;8;479558;247559;231999
2018;9;477474;246176;231298
2018;10;441059;226564;214495
2018;11;430887;220909;209978
2018;12;398720;205307;193413
2018;13;399954;205406;194548
2018;14;381926;196012;185914
2018;15;365209;188228;176981
2018;16;351393;180824;170569
2018;17;362205;186186;176019
2018;18;368336;189258;179078
2018;19;393500;201471;192029
2018;20;411514;211406;200108
2018;21;445723;229126;216597
2018;22;464281;238811;225470
2018;23;482355;248375;233980
2018;24;509637;261652;247985
2018;25;546341;280177;266164
2018;26;582797;298720;284077
2018;27;611096;312702;298394
2018;28;638355;325929;312426
2018;29;677361;345074;332287
2018;30;698733;355862;342871
2018;31;741196;376261;364935
2018;32;718508;363707;354801
2018;33;734367;371652;362715
2018;34;743118;375315;367803
2018;35;675531;341427;334104
2018;36;653759;326819;326940
2018;37;667400;333438;333962
2018;38;628973;313194;315779
2018;39;623854;308440;315414
2018;40;602372;295959;306413
2018;41;634056;311141;322915
2018;42;620601;302079;318522
2018;43;602877;292295;310582
2018;44;587140;284147;302993
2018;45;604581;291008;313573
2018;46;598111;288046;310065
2018;47;591828;284217;307611
2018;48;543027;258279;284748
2018;49;549883;260336;289547
2018;50;540919;253738;287181
2018;51;555788;259091;296697
2018;52;548667;253238;295429
2018;53;571144;261415;309729
2018;54;607217;275157;332060
2018;55;618382;277815;340567
2018;56;639060;286253;352807
2018;57;658082;292336;365746
2018;58;623390;272802;350588
2018;59;613864;265998;347866
2018;60;582590;249164;333426
2018;61;574648;242464;332184
2018;62;530112;220318;309794
2018;63;539149;220974;318175
2018;64;485976;195975;290001
2018;65;501423;199191;302232
2018;66;493016;194822;298194
2018;67;481354;187846;293508
2018;68;488077;185654;302423
2018;69;400651;150706;249945
2018;70;347745;127622;220123
2018;71;330123;117577;212546
2018;72;213082;73484;139598
2018;73;237472;78939;158533
2018;74;208152;68046;140106
2018;75;259397;82581;176816
2018;76;335004;107218;227786
2018;77;328293;103162;225131
2018;78;334278;99682;234596
2018;79;331301;97145;234156
2018;80;1677902;463603;1214299
