2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
46372664.0,46143714.0,45962947.0,45778534.0,45633637.0,45553047.0,45426249.0,42929298.0,42760516.0,42584542.0,42386403.0
31668757.0,31587203.0,31524795.0,31441649.0,31380874.0,31378639.0,31336623.0,29673113.0,29584952.0,29482313.0,29370995.0
14703907.0,14556511.0,14438152.0,14336885.0,14252763.0,14174408.0,14089626.0,13256185.0,13175564.0,13102229.0,13015408.0
510589.0,512525.0,497689.0,502595.0,520705.0,503657.0,465882.0,411781.0,397037.0,363987.0,
263588.0,264844.0,256835.0,259433.0,268748.0,259738.0,240043.0,212846.0,205194.0,187528.0,
247001.0,247681.0,240854.0,243162.0,251957.0,243919.0,225839.0,198935.0,191843.0,176459.0,
11.0,11.1,10.8,11.0,11.4,11.1,10.8,10.7,10.3,9.4,
3416.0,3351.0,3300.0,3158.0,3230.0,3166.0,2820.0,2437.0,2244.0,2136.0,
1801.0,1821.0,1719.0,1649.0,1734.0,1683.0,1502.0,1322.0,1159.0,1090.0,
1615.0,1530.0,1581.0,1509.0,1496.0,1483.0,1318.0,1115.0,1085.0,1046.0,
754460.0,706739.0,698235.0,664588.0,663139.0,662368.0,632296.0,594796.0,583631.0,574123.0,
16.3,15.3,15.2,14.5,14.5,14.6,14.7,14.9,14.7,14.5,
,,,17096.0,61844.0,31913.0,22592.0,14233.0,10620.0,11997.0,
